asset_id,component,failure_timestamp,degrade_window_start
AST-0051-NIC,nic,2026-08-20T00:00:00,2026-08-11T06:00:00
AST-0052-PSU,psu,2026-09-06T00:00:00,2026-09-03T00:00:00
AST-0053-DIMM,dimm,2026-08-16T18:00:00,2026-08-14T06:00:00
AST-0053-PSU,psu,2026-07-30T18:00:00,2026-07-24T00:00:00
AST-0053-NIC,nic,2026-07-26T06:00:00,2026-07-23T12:00:00
AST-0055-DIMM,dimm,2026-09-16T12:00:00,2026-09-08T00:00:00
AST-0056-DISK,disk,2026-08-20T06:00:00,2026-08-11T00:00:00
AST-0056-PSU,psu,2026-07-12T00:00:00,2026-07-08T06:00:00
AST-0057-DIMM,dimm,2026-08-04T12:00:00,2026-07-27T12:00:00
AST-0057-PSU,psu,2026-09-16T12:00:00,2026-09-12T00:00:00
AST-0058-DISK,disk,2026-08-31T06:00:00,2026-08-22T12:00:00
AST-0058-PSU,psu,2026-07-29T12:00:00,2026-07-22T12:00:00
AST-0058-NIC,nic,2026-07-21T12:00:00,2026-07-12T12:00:00
AST-0061-DIMM,dimm,2026-08-24T06:00:00,2026-08-20T00:00:00
AST-0061-DISK,disk,2026-07-28T06:00:00,2026-07-23T18:00:00
AST-0061-NIC,nic,2026-08-17T18:00:00,2026-08-08T00:00:00
AST-0062-NIC,nic,2026-09-11T06:00:00,2026-09-03T00:00:00
AST-0065-DISK,disk,2026-07-19T00:00:00,2026-07-11T18:00:00
AST-0065-PSU,psu,2026-09-02T06:00:00,2026-08-23T12:00:00
AST-0065-NIC,nic,2026-08-12T18:00:00,2026-08-08T18:00:00
AST-0068-NIC,nic,2026-09-16T12:00:00,2026-09-09T12:00:00
AST-0069-DIMM,dimm,2026-07-08T18:00:00,2026-06-29T12:00:00
AST-0069-DISK,disk,2026-08-15T12:00:00,2026-08-07T06:00:00
AST-0070-DIMM,dimm,2026-08-25T00:00:00,2026-08-15T18:00:00
AST-0070-DISK,disk,2026-07-17T06:00:00,2026-07-13T00:00:00
AST-0072-DIMM,dimm,2026-08-24T12:00:00,2026-08-18T12:00:00
AST-0073-DIMM,dimm,2026-08-20T12:00:00,2026-08-14T06:00:00
AST-0074-NIC,nic,2026-07-20T18:00:00,2026-07-15T00:00:00
AST-0075-DIMM,dimm,2026-08-26T00:00:00,2026-08-19T00:00:00
AST-0075-DISK,disk,2026-08-01T06:00:00,2026-07-28T18:00:00
AST-0075-NIC,nic,2026-08-23T12:00:00,2026-08-17T06:00:00
AST-0076-DISK,disk,2026-07-20T00:00:00,2026-07-16T12:00:00
AST-0077-DISK,disk,2026-07-23T00:00:00,2026-07-17T12:00:00
AST-0078-DIMM,dimm,2026-07-07T12:00:00,2026-06-28T00:00:00
AST-0079-DISK,disk,2026-07-07T18:00:00,2026-07-01T12:00:00
AST-0079-PSU,psu,2026-07-14T18:00:00,2026-07-10T12:00:00
AST-0080-DIMM,dimm,2026-08-29T06:00:00,2026-08-21T00:00:00
AST-0083-NIC,nic,2026-06-30T00:00:00,2026-06-25T12:00:00
AST-0084-PSU,psu,2026-09-06T00:00:00,2026-08-31T00:00:00
AST-0086-DIMM,dimm,2026-07-17T00:00:00,2026-07-13T00:00:00
AST-0086-PSU,psu,2026-08-16T06:00:00,2026-08-07T12:00:00
AST-0086-NIC,nic,2026-08-08T18:00:00,2026-08-03T12:00:00
AST-0087-DIMM,dimm,2026-08-19T06:00:00,2026-08-11T12:00:00
AST-0088-NIC,nic,2026-07-24T06:00:00,2026-07-18T18:00:00
AST-0089-DISK,disk,2026-08-22T06:00:00,2026-08-17T06:00:00
AST-0089-PSU,psu,2026-09-05T06:00:00,2026-08-27T06:00:00
AST-0089-NIC,nic,2026-08-16T00:00:00,2026-08-11T00:00:00
AST-0091-DISK,disk,2026-08-02T12:00:00,2026-07-28T12:00:00
AST-0091-PSU,psu,2026-08-23T06:00:00,2026-08-16T12:00:00
AST-0095-DISK,disk,2026-08-29T12:00:00,2026-08-24T00:00:00
AST-0095-PSU,psu,2026-07-30T18:00:00,2026-07-23T06:00:00
