asset_id,rack_id,slot,server_id,component,vendor
AST-0055-DIMM,RACK-07,7,RACK-07-U7,dimm,HPE
AST-0055-DISK,RACK-07,7,RACK-07-U7,disk,HPE
AST-0055-PSU,RACK-07,7,RACK-07-U7,psu,HPE
AST-0055-NIC,RACK-07,7,RACK-07-U7,nic,HPE
AST-0056-DIMM,RACK-07,8,RACK-07-U8,dimm,HPE
AST-0056-DISK,RACK-07,8,RACK-07-U8,disk,HPE
AST-0056-PSU,RACK-07,8,RACK-07-U8,psu,HPE
AST-0056-NIC,RACK-07,8,RACK-07-U8,nic,HPE
AST-0057-DIMM,RACK-08,1,RACK-08-U1,dimm,Lenovo
AST-0057-DISK,RACK-08,1,RACK-08-U1,disk,Lenovo
AST-0057-PSU,RACK-08,1,RACK-08-U1,psu,Lenovo
AST-0057-NIC,RACK-08,1,RACK-08-U1,nic,Lenovo
AST-0058-DIMM,RACK-08,2,RACK-08-U2,dimm,Lenovo
AST-0058-DISK,RACK-08,2,RACK-08-U2,disk,Lenovo
AST-0058-PSU,RACK-08,2,RACK-08-U2,psu,Lenovo
AST-0058-NIC,RACK-08,2,RACK-08-U2,nic,Lenovo
AST-0059-DIMM,RACK-08,3,RACK-08-U3,dimm,Lenovo
AST-0059-DISK,RACK-08,3,RACK-08-U3,disk,Lenovo
AST-0059-PSU,RACK-08,3,RACK-08-U3,psu,Lenovo
AST-0059-NIC,RACK-08,3,RACK-08-U3,nic,Lenovo
AST-0060-DIMM,RACK-08,4,RACK-08-U4,dimm,Lenovo
AST-0060-DISK,RACK-08,4,RACK-08-U4,disk,Lenovo
AST-0060-PSU,RACK-08,4,RACK-08-U4,psu,Lenovo
AST-0060-NIC,RACK-08,4,RACK-08-U4,nic,Lenovo
AST-0061-DIMM,RACK-08,5,RACK-08-U5,dimm,Lenovo
AST-0061-DISK,RACK-08,5,RACK-08-U5,disk,Lenovo
AST-0061-PSU,RACK-08,5,RACK-08-U5,psu,Lenovo
AST-0061-NIC,RACK-08,5,RACK-08-U5,nic,Lenovo
AST-0062-DIMM,RACK-08,6,RACK-08-U6,dimm,Lenovo
AST-0062-DISK,RACK-08,6,RACK-08-U6,disk,Lenovo
AST-0062-PSU,RACK-08,6,RACK-08-U6,psu,Lenovo
AST-0062-NIC,RACK-08,6,RACK-08-U6,nic,Lenovo
AST-0063-DIMM,RACK-08,7,RACK-08-U7,dimm,Lenovo
AST-0063-DISK,RACK-08,7,RACK-08-U7,disk,Lenovo
AST-0063-PSU,RACK-08,7,RACK-08-U7,psu,Lenovo
AST-0063-NIC,RACK-08,7,RACK-08-U7,nic,Lenovo
AST-0064-DIMM,RACK-08,8,RACK-08-U8,dimm,Lenovo
AST-0064-DISK,RACK-08,8,RACK-08-U8,disk,Lenovo
AST-0064-PSU,RACK-08,8,RACK-08-U8,psu,Lenovo
AST-0064-NIC,RACK-08,8,RACK-08-U8,nic,Lenovo
AST-0065-DIMM,RACK-09,1,RACK-09-U1,dimm,Dell
AST-0065-DISK,RACK-09,1,RACK-09-U1,disk,Dell
AST-0065-PSU,RACK-09,1,RACK-09-U1,psu,Dell
AST-0065-NIC,RACK-09,1,RACK-09-U1,nic,Dell
AST-0066-DIMM,RACK-09,2,RACK-09-U2,dimm,Dell
AST-0066-DISK,RACK-09,2,RACK-09-U2,disk,Dell
AST-0066-PSU,RACK-09,2,RACK-09-U2,psu,Dell
AST-0066-NIC,RACK-09,2,RACK-09-U2,nic,Dell
AST-0067-DIMM,RACK-09,3,RACK-09-U3,dimm,Dell
AST-0067-DISK,RACK-09,3,RACK-09-U3,disk,Dell
AST-0067-PSU,RACK-09,3,RACK-09-U3,psu,Dell
AST-0067-NIC,RACK-09,3,RACK-09-U3,nic,Dell
AST-0068-DIMM,RACK-09,4,RACK-09-U4,dimm,Dell
AST-0068-DISK,RACK-09,4,RACK-09-U4,disk,Dell
AST-0068-PSU,RACK-09,4,RACK-09-U4,psu,Dell
AST-0068-NIC,RACK-09,4,RACK-09-U4,nic,Dell
AST-0069-DIMM,RACK-09,5,RACK-09-U5,dimm,Dell
AST-0069-DISK,RACK-09,5,RACK-09-U5,disk,Dell
AST-0069-PSU,RACK-09,5,RACK-09-U5,psu,Dell
AST-0069-NIC,RACK-09,5,RACK-09-U5,nic,Dell
AST-0070-DIMM,RACK-09,6,RACK-09-U6,dimm,Dell
AST-0070-DISK,RACK-09,6,RACK-09-U6,disk,Dell
AST-0070-PSU,RACK-09,6,RACK-09-U6,psu,Dell
AST-0070-NIC,RACK-09,6,RACK-09-U6,nic,Dell
AST-0071-DIMM,RACK-09,7,RACK-09-U7,dimm,Dell
AST-0071-DISK,RACK-09,7,RACK-09-U7,disk,Dell
AST-0071-PSU,RACK-09,7,RACK-09-U7,psu,Dell
AST-0071-NIC,RACK-09,7,RACK-09-U7,nic,Dell
AST-0072-DIMM,RACK-09,8,RACK-09-U8,dimm,Dell
AST-0072-DISK,RACK-09,8,RACK-09-U8,disk,Dell
AST-0072-PSU,RACK-09,8,RACK-09-U8,psu,Dell
AST-0072-NIC,RACK-09,8,RACK-09-U8,nic,Dell
AST-0073-DIMM,RACK-10,1,RACK-10-U1,dimm,HPE
AST-0073-DISK,RACK-10,1,RACK-10-U1,disk,HPE
AST-0073-PSU,RACK-10,1,RACK-10-U1,psu,HPE
AST-0073-NIC,RACK-10,1,RACK-10-U1,nic,HPE
AST-0074-DIMM,RACK-10,2,RACK-10-U2,dimm,HPE
AST-0074-DISK,RACK-10,2,RACK-10-U2,disk,HPE
AST-0074-PSU,RACK-10,2,RACK-10-U2,psu,HPE
AST-0074-NIC,RACK-10,2,RACK-10-U2,nic,HPE
AST-0075-DIMM,RACK-10,3,RACK-10-U3,dimm,HPE
AST-0075-DISK,RACK-10,3,RACK-10-U3,disk,HPE
AST-0075-PSU,RACK-10,3,RACK-10-U3,psu,HPE
AST-0075-NIC,RACK-10,3,RACK-10-U3,nic,HPE
AST-0076-DIMM,RACK-10,4,RACK-10-U4,dimm,HPE
AST-0076-DISK,RACK-10,4,RACK-10-U4,disk,HPE
AST-0076-PSU,RACK-10,4,RACK-10-U4,psu,HPE
AST-0076-NIC,RACK-10,4,RACK-10-U4,nic,HPE
AST-0077-DIMM,RACK-10,5,RACK-10-U5,dimm,HPE
AST-0077-DISK,RACK-10,5,RACK-10-U5,disk,HPE
AST-0077-PSU,RACK-10,5,RACK-10-U5,psu,HPE
AST-0077-NIC,RACK-10,5,RACK-10-U5,nic,HPE
AST-0078-DIMM,RACK-10,6,RACK-10-U6,dimm,HPE
AST-0078-DISK,RACK-10,6,RACK-10-U6,disk,HPE
AST-0078-PSU,RACK-10,6,RACK-10-U6,psu,HPE
AST-0078-NIC,RACK-10,6,RACK-10-U6,nic,HPE
AST-0079-DIMM,RACK-10,7,RACK-10-U7,dimm,HPE
AST-0079-DISK,RACK-10,7,RACK-10-U7,disk,HPE
AST-0079-PSU,RACK-10,7,RACK-10-U7,psu,HPE
AST-0079-NIC,RACK-10,7,RACK-10-U7,nic,HPE
AST-0080-DIMM,RACK-10,8,RACK-10-U8,dimm,HPE
AST-0080-DISK,RACK-10,8,RACK-10-U8,disk,HPE
AST-0080-PSU,RACK-10,8,RACK-10-U8,psu,HPE
AST-0080-NIC,RACK-10,8,RACK-10-U8,nic,HPE
AST-0081-DIMM,RACK-11,1,RACK-11-U1,dimm,Lenovo
AST-0081-DISK,RACK-11,1,RACK-11-U1,disk,Lenovo
AST-0081-PSU,RACK-11,1,RACK-11-U1,psu,Lenovo
AST-0081-NIC,RACK-11,1,RACK-11-U1,nic,Lenovo
AST-0082-DIMM,RACK-11,2,RACK-11-U2,dimm,Lenovo
AST-0082-DISK,RACK-11,2,RACK-11-U2,disk,Lenovo
AST-0082-PSU,RACK-11,2,RACK-11-U2,psu,Lenovo
AST-0082-NIC,RACK-11,2,RACK-11-U2,nic,Lenovo
AST-0083-DIMM,RACK-11,3,RACK-11-U3,dimm,Lenovo
AST-0083-DISK,RACK-11,3,RACK-11-U3,disk,Lenovo
AST-0083-PSU,RACK-11,3,RACK-11-U3,psu,Lenovo
AST-0083-NIC,RACK-11,3,RACK-11-U3,nic,Lenovo
AST-0084-DIMM,RACK-11,4,RACK-11-U4,dimm,Lenovo
AST-0084-DISK,RACK-11,4,RACK-11-U4,disk,Lenovo
AST-0084-PSU,RACK-11,4,RACK-11-U4,psu,Lenovo
AST-0084-NIC,RACK-11,4,RACK-11-U4,nic,Lenovo
AST-0085-DIMM,RACK-11,5,RACK-11-U5,dimm,Lenovo
AST-0085-DISK,RACK-11,5,RACK-11-U5,disk,Lenovo
AST-0085-PSU,RACK-11,5,RACK-11-U5,psu,Lenovo
AST-0085-NIC,RACK-11,5,RACK-11-U5,nic,Lenovo
AST-0086-DIMM,RACK-11,6,RACK-11-U6,dimm,Lenovo
AST-0086-DISK,RACK-11,6,RACK-11-U6,disk,Lenovo
AST-0086-PSU,RACK-11,6,RACK-11-U6,psu,Lenovo
AST-0086-NIC,RACK-11,6,RACK-11-U6,nic,Lenovo
AST-0087-DIMM,RACK-11,7,RACK-11-U7,dimm,Lenovo
AST-0087-DISK,RACK-11,7,RACK-11-U7,disk,Lenovo
AST-0087-PSU,RACK-11,7,RACK-11-U7,psu,Lenovo
AST-0087-NIC,RACK-11,7,RACK-11-U7,nic,Lenovo
AST-0088-DIMM,RACK-11,8,RACK-11-U8,dimm,Lenovo
AST-0088-DISK,RACK-11,8,RACK-11-U8,disk,Lenovo
AST-0088-PSU,RACK-11,8,RACK-11-U8,psu,Lenovo
AST-0088-NIC,RACK-11,8,RACK-11-U8,nic,Lenovo
AST-0089-DIMM,RACK-12,1,RACK-12-U1,dimm,Dell
AST-0089-DISK,RACK-12,1,RACK-12-U1,disk,Dell
AST-0089-PSU,RACK-12,1,RACK-12-U1,psu,Dell
AST-0089-NIC,RACK-12,1,RACK-12-U1,nic,Dell
AST-0090-DIMM,RACK-12,2,RACK-12-U2,dimm,Dell
AST-0090-DISK,RACK-12,2,RACK-12-U2,disk,Dell
AST-0090-PSU,RACK-12,2,RACK-12-U2,psu,Dell
AST-0090-NIC,RACK-12,2,RACK-12-U2,nic,Dell
AST-0091-DIMM,RACK-12,3,RACK-12-U3,dimm,Dell
AST-0091-DISK,RACK-12,3,RACK-12-U3,disk,Dell
AST-0091-PSU,RACK-12,3,RACK-12-U3,psu,Dell
AST-0091-NIC,RACK-12,3,RACK-12-U3,nic,Dell
AST-0092-DIMM,RACK-12,4,RACK-12-U4,dimm,Dell
AST-0092-DISK,RACK-12,4,RACK-12-U4,disk,Dell
AST-0092-PSU,RACK-12,4,RACK-12-U4,psu,Dell
AST-0092-NIC,RACK-12,4,RACK-12-U4,nic,Dell
AST-0093-DIMM,RACK-12,5,RACK-12-U5,dimm,Dell
AST-0093-DISK,RACK-12,5,RACK-12-U5,disk,Dell
AST-0093-PSU,RACK-12,5,RACK-12-U5,psu,Dell
AST-0093-NIC,RACK-12,5,RACK-12-U5,nic,Dell
AST-0094-DIMM,RACK-12,6,RACK-12-U6,dimm,Dell
AST-0094-DISK,RACK-12,6,RACK-12-U6,disk,Dell
AST-0094-PSU,RACK-12,6,RACK-12-U6,psu,Dell
AST-0094-NIC,RACK-12,6,RACK-12-U6,nic,Dell
AST-0095-DIMM,RACK-12,7,RACK-12-U7,dimm,Dell
AST-0095-DISK,RACK-12,7,RACK-12-U7,disk,Dell
AST-0095-PSU,RACK-12,7,RACK-12-U7,psu,Dell
AST-0095-NIC,RACK-12,7,RACK-12-U7,nic,Dell
AST-0096-DIMM,RACK-12,8,RACK-12-U8,dimm,Dell
AST-0096-DISK,RACK-12,8,RACK-12-U8,disk,Dell
AST-0096-PSU,RACK-12,8,RACK-12-U8,psu,Dell
AST-0096-NIC,RACK-12,8,RACK-12-U8,nic,Dell
